address,n_tx_cell_layer,shape_1_to_1_ratio,shape_1_to_n_ratio,shape_n_to_1_ratio,shape_n_to_n_ratio,topology_state,n_inputs_total,cell_lifetime_support_n,cell_lifetime_support_ratio,cell_lifetime_mean_s,cell_lifetime_median_s,cell_lifetime_cv,same_block_spend_ratio,lifecycle_state,lock_hash_known_ratio,n_distinct_lock_hashes,lock_family_primary,multisig_usage_ratio,lock_state,has_type_script_ratio,n_distinct_type_hashes,uses_since_ratio,since_support_n,repeated_since_value_ratio,since_state,unique_counterparties_out_cell,unique_counterparties_in_cell,reciprocity_ratio_cell,out_capacity_concentration_hhi_cell,out_capacity_entropy_cell,network_state,sent_capacity_ckb_cell,received_capacity_ckb_cell,net_capacity_delta_ckb_cell,n_cellbase_inputs_direct,touches_cellbase_directly
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqf9gpm79hetc79v6ctwyzddhtwe9g6mfmq0sm2ez,1,0.0,0.0,0.0,1.0,OK,,,,,,,,,1.0,1,secp256k1_blake160_sighash_all,0.0,OK,1.0,1.0,,,,,0,2,0.0,,,OK,0.0,100455043.47815138,100455043.47815138,0,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtwv6eueqmzuljtepywy5hdc2gl5jrtz6g6ef93l,4,0.0,0.25,0.0,0.75,OK,7.0,3.0,0.42857142857142855,8693460217.333334,4586279326.0,0.9936914097119868,0.0,INSUFFICIENT_EVIDENCE,1.0,1,secp256k1_blake160_sighash_all,0.0,OK,0.0,0.0,0.0,7.0,,OK,2,0,0.0,0.909297052154195,0.2761954276479391,OK,100425931.30766712,16425931.30134323,-84000000.00632389,0,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqw827vkp4zln5plmzzktcymdr0ec8aqhpc4sr8d5,2268,0.5,0.09700176366843033,0.0,0.40299823633156967,OK,1134.0,1134.0,1.0,725106.975308642,568420.5,3.1789719087238995,0.0,OK,1.0,1,secp256k1_blake160_sighash_all,0.0,OK,0.0,0.0,0.0,1134.0,,OK,1,13,0.0,1.0,,OK,3133893.04700613,3133893.04700613,0.0,0,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq20u0ncxwckqw79c9f9kev5mlckwsmj8psnrz4u4,1241,0.0016116035455278,0.1232876712328767,0.48912167606768736,0.3859790491539081,OK,632.0,632.0,1.0,2169906.5727848103,2125267.5,0.49513005174017727,0.0,OK,1.0,1,secp256k1_blake160_sighash_all,0.0,OK,0.0,0.0,0.0,632.0,,OK,2,2,0.0,0.6497538551696458,0.771618024358619,OK,464959.76833161,464959.76833161,0.0,0,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2vr8y8dws0jkz062k8vlpafpu8x9rucvcggdkr4,1072,0.5,0.08582089552238806,0.0,0.4141791044776119,OK,536.0,536.0,1.0,521113.8563432836,515400.5,0.5698939415754031,0.0,OK,1.0,1,secp256k1_blake160_sighash_all,0.0,OK,0.0,0.0,0.0,536.0,,OK,1,11,0.0,1.0,,OK,830174.82685023,830174.82685023,0.0,0,False
ckb1qzfhdsa4syv599s2s3nfrctwga70g0tu07n9gpnun9ydlngf5vsnwqggqlc8fmqp73anzq4x4hm9w42vuvm85n62xsyq0ur5asqlg7e3q2n2majh24xwxdn6fa9rg33tphd,12,0.08333333333333333,0.16666666666666666,0.0,0.75,OK,9.0,7.0,0.7777777777777778,5047233043.714286,2591922879.0,1.2134361071017183,0.0,OK,1.0,1,unrecognized,0.0,OK,0.6666666666666666,2.0,0.0,9.0,,OK,6,10,0.6,0.6622125559951761,0.4381186439550498,OK,3826.99926213,4360.94842895,533.9491668199998,0,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0tmqv9558dmffj72454pzkvfx5etm2rsg2jzelt,1668,0.5,0.02997601918465228,0.0,0.47002398081534774,OK,834.0,834.0,1.0,604465.8669064748,583548.5,0.18938968678040222,0.0,OK,1.0,1,secp256k1_blake160_sighash_all,0.0,OK,0.0,0.0,0.0,834.0,,OK,1,13,0.0,1.0,,OK,1240542.106835,1240542.106835,0.0,0,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdzcwm3dgw383w7uv4v9a95jdxtxgzrmdcpxs45n,85,0.0,0.6235294117647059,0.0,0.3764705882352941,OK,,,,,,,,,1.0,1,secp256k1_blake160_sighash_all,0.0,OK,0.0,0.0,,,,,0,2,0.0,,,OK,0.0,42871.22303345,42871.22303345,0,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0she9la0u4z5zlwj3ckv25cvg6f2kjxmgw9vxx3,2239,0.0,0.5024564537740063,0.0,0.4975435462259937,OK,,,,,,,,,1.0,1,secp256k1_blake160_sighash_all,0.0,OK,0.0,0.0,,,,,0,1,0.0,,,OK,0.0,1232997.14816517,1232997.14816517,0,False
ckb1qzfhdsa4syv599s2s3nfrctwga70g0tu07n9gpnun9ydlngf5vsnwqg9yr6t499eazdx5f40fewvzm04uuea2gtnq5s0fw55h85f563x4a89estd7hnn84fpwvn3swz8,2,0.0,0.0,0.0,1.0,OK,2.0,1.0,0.5,34834892718.0,34834892718.0,0.0,0.0,INSUFFICIENT_EVIDENCE,1.0,1,unrecognized,0.0,OK,1.0,1.0,0.0,2.0,,INSUFFICIENT_EVIDENCE,2,2,1.0,0.5000103316293691,0.9999850945582122,OK,434.0,434.0,0.0,0,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2pnp7gglp8clvahem5mpf7wmr0pjk5krgf4lwf2,660,0.25606060606060604,0.30303030303030304,0.04696969696969697,0.3939393939393939,OK,460.0,460.0,1.0,510316693.8869565,69434251.0,3.338429498091,0.0,OK,1.0,1,secp256k1_blake160_sighash_all,0.0,OK,0.0,0.0,0.0,460.0,,OK,1,1,0.0,1.0,,OK,264201.67920715,264201.67920715,0.0,0,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqv9vxgmpvg55u2p84e8xerreq8kg4lf4ugyddftc,1556,0.0,0.4730077120822622,0.008997429305912597,0.5179948586118251,OK,1436.0,1436.0,1.0,1174613001.9937327,887951302.5,0.811386064598266,0.0,OK,1.0,1,secp256k1_blake160_sighash_all,0.0,OK,0.0,0.0,0.0,1436.0,,OK,16,1,0.0,0.10541656945619009,0.8996162287974289,OK,1304976.22515641,1371015.17752008,66038.9523636701,0,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqd3ele94wtw253dum78vpuuy2rcspueckqp9hktf,1639,0.0,0.0012202562538133007,0.0006101281269066504,0.9981696156192801,OK,1597.0,1597.0,1.0,149908276.59048215,77374499.0,2.0404541775724994,0.0,OK,1.0,1,secp256k1_blake160_sighash_all,0.0,OK,0.0,0.0,0.0,1597.0,,OK,4,13,0.0625,0.5870074568671426,0.4486940457898698,OK,9781739.26103913,9925688.78096512,143949.5199259892,0,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0msjj9yjj2n6dtuafzzj6uen3p7mt966sfkapz2,1102,0.0,0.3157894736842105,0.0,0.6842105263157895,OK,,,,,,,,,1.0,1,secp256k1_blake160_sighash_all,0.0,OK,0.0,0.0,,,,,0,1,0.0,,,OK,0.0,714266.33560465,714266.33560465,0,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqd3w85684vvlhfh93nrvkq6rz6ve7xu0ugjyfg3s,1079,0.0,0.12048192771084337,0.07599629286376275,0.8035217794253939,OK,975.0,975.0,1.0,66925712.40717949,51863543.0,1.023812802911338,0.0,OK,1.0,1,secp256k1_blake160_sighash_all,0.0,OK,0.0,0.0,0.0,975.0,,OK,1,3,0.0,1.0,,OK,1218094.75946143,1232589.80743201,14495.04797058017,0,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfcls7pnlg5eausdqrj4k0jrlhm7zy3jrsjljh33,2123,0.007536504945831371,0.06782854451248234,0.437588318417334,0.48704663212435234,OK,1177.0,1177.0,1.0,2144743.008496177,2098630.0,0.48841352722235976,0.0,OK,1.0,1,secp256k1_blake160_sighash_all,0.0,OK,0.0,0.0,0.0,1177.0,,OK,2,2,0.0,0.6300289882181409,0.8032901472398329,OK,1059257.35713335,1060414.39140939,1157.0342760398053,0,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2j02vr6g0w9839ptv6m6qr8r3ddzq2x3qjp5nuw,1458,0.0027434842249657062,0.4993141289437586,0.49725651577503427,0.0006858710562414266,OK,729.0,729.0,1.0,2702387.2373113856,2240497.0,2.9086658393279565,0.0,OK,1.0,1,secp256k1_blake160_sighash_all,0.0,OK,0.0,0.0,0.0,729.0,,OK,2,1,0.0,0.835303447167874,0.4382931460110781,OK,24743528.99669001,24743528.99669001,0.0,0,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqgzw9vj0prshmp4pm5jr0t8m4vwf353syqvqfm08,251,0.0,0.50199203187251,0.49800796812749004,0.0,OK,126.0,126.0,1.0,2109222.785714286,2094622.5,0.5140774035127484,0.0,OK,1.0,1,secp256k1_blake160_sighash_all,0.0,OK,0.0,0.0,0.0,126.0,,OK,2,2,0.0,0.5381904829501232,0.9441790329925732,OK,520853.2215504,520853.2215504,0.0,0,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtc39e2l04ha5t5fzvupspn49lftrglr8gw99j4e,106,0.0,0.37735849056603776,0.5,0.12264150943396226,OK,53.0,53.0,1.0,2041813.358490566,1878633.0,0.48079210837466385,0.0,OK,1.0,1,secp256k1_blake160_sighash_all,0.0,OK,0.0,0.0,0.0,53.0,,OK,2,2,0.0,0.6344342489011829,0.7962643091605272,OK,46306.28435702,46306.28435702,0.0,0,False
