address,candidate_pool,source_signal,explorer_url,top_archetype,top_score,is_scripted,cluster_label,touches_cellbase_directly,wallet_status,verified_label,verified_notes,verified_by,verified_date
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqvmjk724y9qgf30ccu4zqd5aktvd4e8hcq3r3exj,human_candidate,top_archetype=IRREGULAR_ACTIVITY score=0.71,https://explorer.nervos.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqvmjk724y9qgf30ccu4zqd5aktvd4e8hcq3r3exj,IRREGULAR_ACTIVITY,0.7091735407023674,False,high_in_counterparties_cell+high_in_counterparties,False,active,,,,
ckb1qqcratfhhe0whl8n2pyyw9248r9kyw3x7gmkp80jf0ffvagvzgc8sqgdzm4fw,human_candidate,top_archetype=IRREGULAR_ACTIVITY score=0.83,https://explorer.nervos.org/address/ckb1qqcratfhhe0whl8n2pyyw9248r9kyw3x7gmkp80jf0ffvagvzgc8sqgdzm4fw,IRREGULAR_ACTIVITY,0.8310846565155953,False,Outlier_Excluded,False,active,,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqgnfvuxythnvn6vprmx6jxl9fqh5ezez8q9guwpx,human_candidate,top_archetype=IRREGULAR_ACTIVITY score=0.53,https://explorer.nervos.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqgnfvuxythnvn6vprmx6jxl9fqh5ezez8q9guwpx,IRREGULAR_ACTIVITY,0.525251159091105,False,high_in_counterparties_cell+high_in_counterparties,False,active,,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2pnp7gglp8clvahem5mpf7wmr0pjk5krgf4lwf2,human_candidate,top_archetype=IRREGULAR_ACTIVITY score=0.87,https://explorer.nervos.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2pnp7gglp8clvahem5mpf7wmr0pjk5krgf4lwf2,IRREGULAR_ACTIVITY,0.8689550583241932,False,high_in_counterparties_cell+high_in_counterparties,False,active,,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqg2h7uwwprx9jj45wjl3atqcx9n2ztadscfrnanm,human_candidate,top_archetype=IRREGULAR_ACTIVITY score=0.55,https://explorer.nervos.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqg2h7uwwprx9jj45wjl3atqcx9n2ztadscfrnanm,IRREGULAR_ACTIVITY,0.5515086896030388,False,high_in_counterparties_cell+high_in_counterparties,False,active,,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0w5cger8gkfqrzly29erurag0yrmkx8vgk92dj4,human_candidate,top_archetype=IRREGULAR_ACTIVITY score=0.56,https://explorer.nervos.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0w5cger8gkfqrzly29erurag0yrmkx8vgk92dj4,IRREGULAR_ACTIVITY,0.564566332297282,False,high_in_counterparties_cell+high_in_counterparties,False,active,,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq08nxknd7g5pzwe9mmdcqtqfs5f8ckh8fq34kxj8,human_candidate,top_archetype=IRREGULAR_ACTIVITY score=0.76,https://explorer.nervos.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq08nxknd7g5pzwe9mmdcqtqfs5f8ckh8fq34kxj8,IRREGULAR_ACTIVITY,0.7649639640169931,False,high_in_counterparties_cell+high_in_counterparties,False,active,,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2qtfq8zdd9rs86hslwh8j4h8qjk6r3e6s0k50ul,human_candidate,top_archetype=IRREGULAR_ACTIVITY score=0.76,https://explorer.nervos.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2qtfq8zdd9rs86hslwh8j4h8qjk6r3e6s0k50ul,IRREGULAR_ACTIVITY,0.7578675274259989,False,high_in_counterparties_cell+high_in_counterparties,False,active,,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqgdfcqrc54z7gdl04pmq7vskgdzx2axu0cns0vcq,human_candidate,top_archetype=IRREGULAR_ACTIVITY score=0.65,https://explorer.nervos.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqgdfcqrc54z7gdl04pmq7vskgdzx2axu0cns0vcq,IRREGULAR_ACTIVITY,0.6513431930642831,False,high_in_counterparties_cell+high_in_counterparties,False,active,,,,
ckb1qr2g8yj3vrjzx2evk20szt5rszmmvykhrn6w0xv3ga4khnmpqu6lvqq3u8mhh,miner_exchange_candidate,outlier distance_z=1067.5 worst_feature=unique_counterparties_out,https://explorer.nervos.org/address/ckb1qr2g8yj3vrjzx2evk20szt5rszmmvykhrn6w0xv3ga4khnmpqu6lvqq3u8mhh,IRREGULAR_ACTIVITY,0.7430490637692666,True,Outlier_Excluded,False,active,,,,
