address,cluster_id,cluster_confidence,cluster_label
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq06cwnwfzz5sv5ps5w6ewtm6q9upj8klyc7qt4xy,1.0,1.0,low_out_hhi_cell+low_out_hhi
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq06hq9768t33hwp5cxyq4kxaskw7xgrqhgyj6gz0,0.0,1.0,high_in_counterparties_cell+high_in_counterparties
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq06s99smdcvprv0vpjw74v7yr3gfsz63tsmgym2k,0.0,0.9999999999829896,high_in_counterparties_cell+high_in_counterparties
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0764vl97f7teu43k9x9v93fr9330zgf0cr43nr7,,,Inactive
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq07j9vt4j4pr582tmmhg2r25g09e8lqhzq67lmrn,0.0,1.0,high_in_counterparties_cell+high_in_counterparties
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq07ky0r9mzffqwrv5ah6p8h9z47lg2p3acrhyltk,,,Inactive
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq07r6d4agdqwld880vzslwy3aj28mh3axq7pjrfc,,,Inactive
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq07vlts907h0ev3vz40qttyg6qx7xh3xlqgyyr4j,0.0,1.0,high_in_counterparties_cell+high_in_counterparties
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq07zh8qks3jgz4rzfnnvz6l3669qm0nrugucl40c,,,Outlier_Excluded
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq084l0edu0ucchdngufewmh2mp2mlmqk8cqsq99n,0.0,1.0,high_in_counterparties_cell+high_in_counterparties
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq087uc2epsa0ft08zu747g30c6zuh2lyxcsqugmn,1.0,1.0,low_out_hhi_cell+low_out_hhi
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq08d3jlwgma52gm4mz6fchyah7ruhk8y4swey2xv,0.0,1.0,high_in_counterparties_cell+high_in_counterparties
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq08np8nmp86cyutmm8glcmp36udhrkquhgpeccr6,1.0,1.0,low_out_hhi_cell+low_out_hhi
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq08nxknd7g5pzwe9mmdcqtqfs5f8ckh8fq34kxj8,0.0,0.9999999999999787,high_in_counterparties_cell+high_in_counterparties
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq09qn6u0gmgf2fxgw6re5ntcaexrxlsrmsls56gk,1.0,1.0,low_out_hhi_cell+low_out_hhi
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq09rwsv5zvm3658ugyssehs360eh82v7zclyn32u,1.0,1.0,low_out_hhi_cell+low_out_hhi
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0a7apfhwtpcrx2vwh4rverv53y377dgsqtkmuyv,,,Outlier_Excluded
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0anafacyafq0j2rek0jx5rztanvvw9kcqdtkwna,1.0,1.0,low_out_hhi_cell+low_out_hhi
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0anxptffq8enukzzyc9yjry5kt3ugua2gg39eh9,0.0,1.0,high_in_counterparties_cell+high_in_counterparties
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0atd3ep6w47442fk86cxg5n0nsactvlts9nzk3r,0.0,1.0,high_in_counterparties_cell+high_in_counterparties
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0c46k06e2fp7rg9aq9yqxwaat763nrpegmdg0qn,0.0,1.0,high_in_counterparties_cell+high_in_counterparties
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0c46rcy6f2qav3ddfgv2540mz6vl7knlc0pl0a0,0.0,0.9999999999999929,high_in_counterparties_cell+high_in_counterparties
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0ccj0jne37a2e7g4aw9473j0wju4xx2ag7zssne,0.0,1.0,high_in_counterparties_cell+high_in_counterparties
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0cl8tlydpzpp6wzeuzfsm926sp9m0rpqqt2qecr,1.0,1.0,low_out_hhi_cell+low_out_hhi
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0cq8e9avklws5c6s8zqkh4gluc0q2jrasq93la2,,,Inactive
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0d430ajed30h2df3d4eudc2d2jr45mr2qtpx9rj,,,Inactive
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0d9ma6yrsj0r83e5qhf0ja2x39ph8gc0qgkmu25,0.0,0.9999999999997016,high_in_counterparties_cell+high_in_counterparties
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0dtptjfpdqwdy4u8uukg2msx5l7vhwt4q2t2k08,1.0,1.0,low_out_hhi_cell+low_out_hhi
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0e79jhf82c52wjwz95sv4lms78akfvdesz5vfwc,0.0,0.9999999999998792,high_in_counterparties_cell+high_in_counterparties
