cluster,membership_probability,representation,wallet
-1,0.0,HIGH_CONFIDENCE_SCALED,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq059gaxh9mhygyzgpps4edtqdsumgslcdq3ejtuw
3,0.8918129910571544,HIGH_CONFIDENCE_SCALED,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq05jzhp0f28a78e9vnyvk4vfmw60xaqadgfyz8es
1,0.6710936872412946,HIGH_CONFIDENCE_SCALED,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq05k3xttu6lzuy260j06mql7tqpgwcznlcvx836h
-1,0.0,HIGH_CONFIDENCE_SCALED,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq05n6zvckahhuks4wl9rznllcfgralwl3gqs5rqt
4,0.9821351439464889,HIGH_CONFIDENCE_SCALED,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq05uu85tpqrf75arfkskcnwjsaj5f6c05qtmqdm9
2,1.0,HIGH_CONFIDENCE_SCALED,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq06cwnwfzz5sv5ps5w6ewtm6q9upj8klyc7qt4xy
-1,0.0,HIGH_CONFIDENCE_SCALED,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq06s99smdcvprv0vpjw74v7yr3gfsz63tsmgym2k
4,0.9550427844576828,HIGH_CONFIDENCE_SCALED,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq07j9vt4j4pr582tmmhg2r25g09e8lqhzq67lmrn
-1,0.0,HIGH_CONFIDENCE_SCALED,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq08d3jlwgma52gm4mz6fchyah7ruhk8y4swey2xv
4,0.945849170185046,HIGH_CONFIDENCE_SCALED,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq08np8nmp86cyutmm8glcmp36udhrkquhgpeccr6
