capacity__mean_target_input_capacity_shannon,capacity__mean_target_output_capacity_shannon,capacity__median_abs_target_delta_shannon,capacity__target_input_capacity_shannon,capacity__target_net_capacity_delta_shannon,capacity__target_output_capacity_shannon,rule__BATCH_DISTRIBUTION__score,rule__FAN_IN_COLLECTION__score,rule__PERIODIC_EXECUTION__score,scripts__cells_with_full_script,scripts__total_cells,templates__dominant_template_ratio,templates__template_entropy,templates__template_repeat_ratio,templates__template_transition_entropy,templates__unique_template_count,temporal__active_hour_entropy,temporal__active_weekday_entropy,temporal__burstiness,temporal__dominant_period_seconds,temporal__interarrival_cv,temporal__interarrival_mean_seconds,temporal__interarrival_median_seconds,temporal__interarrival_std_seconds,temporal__interval_repeat_ratio,temporal__n_observed_transactions,temporal__periodicity_strength,temporal__phase_stability,topology__cell_consolidation_ratio,topology__cell_fragmentation_ratio,topology__fanin_transaction_ratio,topology__fanout_transaction_ratio,topology__many_to_many_ratio,topology__max_input_cells_per_tx,topology__max_output_cells_per_tx,topology__mean_external_input_locks,topology__mean_external_output_locks,topology__mean_input_cells_per_tx,topology__mean_output_cells_per_tx,topology__topology_entropy,topology__topology_repeat_ratio,transaction_count_30d
17089943716.933332,17089942774.933332,6300000942.0,512698311508,-28260,512698283248,0.6666666666666666,0.3333333333333333,1.0,0,120,0.2,3.355913095175825,1.0,4.720049960644813,11,0.25016493498306364,0.9972309552488496,-0.6136536459526472,86213,0.2394233452862598,86341.20689655172,86213,20672.1005912255,0.7931034482758621,30,0.980633766900129,0.8771522102699605,0.0,0.0,0.0,0.5,0.0,2,2,0.5,1,2,2,1.0,0.5,30
244600449623.5,244600447634.5,1989.0,489200899247,-3978,489200895269,,,,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
7476755921050.833,2357522585760.1665,100000001842.0,44860535526305,-30715400011744,14145135514561,0.3333333333333333,0.3333333333333333,,3,26,0.16666666666666666,2.584962500721156,0.0,2.321928094887362,6,0.2729856933815615,0.4458393050175722,0.07646595676007324,,1.1655942351444168,66259.5,38171.5,77231.69122355149,0.0,6,,,0.16666666666666666,0.8333333333333334,0.0,0.8333333333333334,0.0,7,3,0,0.8333333333333334,2.1666666666666665,2.1666666666666665,0.896240625180289,0.5,6
1112329425000,1112329425000,2224658850000.0,4449317700000,0,4449317700000,0.3333333333333333,0.3333333333333333,,0,12,0.5,1.5,0.5,1.584962500721156,3,,,,,,,,,,,,,0.25,0.0,0.0,0.0,0.0,3,2,0.5,1,1.5,1.5,0.9463946303571862,0.5,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
155026993379870,154977060696255,49932683615.0,310053986759740,-99865367230,309954121392510,,,,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
170697242006,170697240122,1884,170697242006,-1884,170697240122,,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
91999016636,6300014754,85699001882,91999016636,-85699001882,6300014754,,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2359824345259,0,2359824345259,2359824345259,-2359824345259,0,,,,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1000200000000,0,1000200000000,1000200000000,-1000200000000,0,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
31210472934.451614,31210471050.451614,1884,967524660968,-58404,967524602564,0.3333333333333333,0.3333333333333333,1.0,0,124,0.3225806451612903,2.0368233459434157,0.9032258064516129,2.500863613362384,6,0.42163500410775795,0.993481035715945,-0.48832812410117254,86795.0,0.34378969772397133,86031.93333333333,86795.0,29576.892355275522,0.5,31,0.951084222266883,0.7696134476370692,0.0,0.0,0.0,0.0,0.0,2,2,0,0,2,2,0.0,1.0,31
38286650014,44279974400,10000001842,574299750210,89899865790,664199616000,0.0,0.0,0.0,0,44,0.13333333333333333,3.773557262275186,0.13333333333333333,3.807354922057604,14,0.4702138992056592,0.25715597597408063,0.4144050851765888,136.0,2.4153302041618803,10198.214285714286,136.0,24632.05499280089,0.0,15,0.5332971686044075,0.2047941600524328,0.13333333333333333,0.26666666666666666,0.0,0.4666666666666667,0.0,3,2,0.5333333333333333,0.6,1.3333333333333333,1.6,0.8927518470035195,0.4,15
22733267661.866665,22733266719.866665,6300000942.0,681998029856,-28260,681998001596,0.6666666666666666,0.3333333333333333,1.0,0,120,0.2,3.355913095175825,1.0,4.720049960644813,11,0.25016493498306364,0.9972309552488496,-0.6136536459526472,86213,0.2394233452862598,86341.20689655172,86213,20672.1005912255,0.7931034482758621,30,0.980633766900129,0.8771522102699605,0.0,0.0,0.0,0.5,0.0,2,2,0.5,1,2,2,1.0,0.5,30
17317422836,30884844656.75,15000000915.0,69269691344,54269687283,123539378627,0.0,0.0,,5,13,0.25,2.0,0.0,1.584962500721156,4,,,,,,,,,,,,,0.0,0.25,0.25,0.25,0.25,2,3,0.75,1,1.25,2,1.0,0.25,4
97541645856087.3,97601534452027,57308,2633624438114357,1616992090372,2635241430204729,0.3333333333333333,0.3333333333333333,0.0,36,90,0.3333333333333333,2.401225464325147,0.9259259259259259,2.907009314945297,7,0.8140324429579153,0.7643479385936712,0.33591710358205956,4928.0,2.011672203557702,92038.07692307692,4928.0,185150.44101505945,0.07692307692307693,27,0.38098474594052567,0.15960380472530014,0.0,0.0,0.0,0.0,0.0,2,2,0,0,1.6666666666666667,1.6666666666666667,0.9182958340544896,0.6666666666666666,27
