address,collection_state,evidence_state,attempt_count,last_attempt_at,last_successful_stage,last_error,last_error_type,last_http_status,failure_scope,sampling_stratum,lifetime_tx_count,failure_category,recommendation
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2qje0r5vg9pzmpz4uqt7fw32qvcp4a8cc7deems,FAILED_RETRY_EXHAUSTED,PARTIAL,1,2026-09-01T02:14:25.512514+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2qje0r5vg9pzmpz4uqt7fw32qvcp4a8cc7deems: The read operation timed out,EXPLORER_TIMEOUT,,WALLET,unknown,,Explorer timeout/service,RETRY_LATER
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2s5yg0ax2ej7n9l0xkhrral8ceuaahp7cx9s233,FAILED_RETRY_EXHAUSTED,PARTIAL,1,2026-09-01T02:18:19.379629+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2s5yg0ax2ej7n9l0xkhrral8ceuaahp7cx9s233: The read operation timed out,EXPLORER_TIMEOUT,,WALLET,unknown,,Explorer timeout/service,RETRY_LATER
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2s6dygffm0ed03txsa3ca8npdpel05vqg5j9mgd,FAILED_RETRY_EXHAUSTED,PARTIAL,1,2026-09-01T02:21:06.956170+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2s6dygffm0ed03txsa3ca8npdpel05vqg5j9mgd: The read operation timed out,EXPLORER_TIMEOUT,,WALLET,501-1000,808,Explorer timeout/service,RETRY_LATER
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2stwwespmk3ffj7g7g7auauwvzcqrvf3g7mtxue,FAILED_RETRY_EXHAUSTED,PARTIAL,1,2026-09-01T02:23:10.633378+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2stwwespmk3ffj7g7g7auauwvzcqrvf3g7mtxue: The read operation timed out,EXPLORER_TIMEOUT,,WALLET,unknown,,Explorer timeout/service,RETRY_LATER
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2vfrwwa2h4ag878nn7935gzex40d9y7xcckkcz2,FAILED_RETRY_EXHAUSTED,PARTIAL,1,2026-09-01T02:26:59.189318+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2vfrwwa2h4ag878nn7935gzex40d9y7xcckkcz2: The read operation timed out,EXPLORER_TIMEOUT,,WALLET,unknown,,Explorer timeout/service,RETRY_LATER
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2wctw0r06v9ecgf0w8wv33vfkkdp5em2gaet4lw,FAILED_RETRY_EXHAUSTED,PARTIAL,1,2026-09-01T02:29:18.443698+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2wctw0r06v9ecgf0w8wv33vfkkdp5em2gaet4lw: The read operation timed out,EXPLORER_TIMEOUT,,WALLET,unknown,,Explorer timeout/service,RETRY_LATER
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2xy99vwcnnx0a2kj09tygzxtrpklg0jss32v93h,FAILED_RETRY_EXHAUSTED,PARTIAL,1,2026-09-01T02:32:33.811315+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2xy99vwcnnx0a2kj09tygzxtrpklg0jss32v93h: The read operation timed out,EXPLORER_TIMEOUT,,WALLET,51-200,194,Explorer timeout/service,RETRY_LATER
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2y7pryn5grvyf8xlv8p0h9840xnpffflsgmrly9,FAILED_RETRY_EXHAUSTED,PARTIAL,1,2026-09-01T02:34:17.867364+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2y7pryn5grvyf8xlv8p0h9840xnpffflsgmrly9: The read operation timed out,EXPLORER_TIMEOUT,,WALLET,unknown,,Explorer timeout/service,RETRY_LATER
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2z0x6fskhkzceswyv9d0cnrwru7xwec3gpgaqjp,FAILED_RETRY_EXHAUSTED,PARTIAL,1,2026-09-01T02:36:42.049936+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2z0x6fskhkzceswyv9d0cnrwru7xwec3gpgaqjp: The read operation timed out,EXPLORER_TIMEOUT,,WALLET,unknown,,Explorer timeout/service,RETRY_LATER
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqd0ee0trngn9r39tuv9d3x5mzvg5mfxlpq5sl2wv,FAILED_RETRY_EXHAUSTED,PARTIAL,1,2026-09-01T02:38:42.785526+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqd0ee0trngn9r39tuv9d3x5mzvg5mfxlpq5sl2wv: The read operation timed out,EXPLORER_TIMEOUT,,WALLET,unknown,,Explorer timeout/service,RETRY_LATER
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqd2dnzrsunklanuwz4u473u3zk5lpc4mxcx8sgk7,FAILED_RETRY_EXHAUSTED,PARTIAL,1,2026-09-01T02:41:10.178663+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqd2dnzrsunklanuwz4u473u3zk5lpc4mxcx8sgk7: The read operation timed out,EXPLORER_TIMEOUT,,WALLET,201-500,341,Explorer timeout/service,RETRY_LATER
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqd39v2lwwu4grcvg0r6sc20x3h9jnfje2qt67tm2,FAILED_RETRY_EXHAUSTED,PARTIAL,1,2026-09-01T02:43:08.364781+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqd39v2lwwu4grcvg0r6sc20x3h9jnfje2qt67tm2: The read operation timed out,EXPLORER_TIMEOUT,,WALLET,unknown,,Explorer timeout/service,RETRY_LATER
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqd3kga46l9ryvaqndgs7ga230t5h9sna5c86ah40,FAILED_RETRY_EXHAUSTED,PARTIAL,1,2026-09-01T02:46:15.997944+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqd3kga46l9ryvaqndgs7ga230t5h9sna5c86ah40: The read operation timed out,EXPLORER_TIMEOUT,,WALLET,unknown,,Explorer timeout/service,RETRY_LATER
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqd403rpqrzn2kc57yx8f2p74n4e0zf2rxqq2drwj,FAILED_RETRY_EXHAUSTED,PARTIAL,1,2026-09-01T02:49:14.514374+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqd403rpqrzn2kc57yx8f2p74n4e0zf2rxqq2drwj: The read operation timed out,EXPLORER_TIMEOUT,,WALLET,unknown,,Explorer timeout/service,RETRY_LATER
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqd5hxteyzsxsfckx7my779ksvgyrznwzsqhe3qgy,FAILED_RETRY_EXHAUSTED,PARTIAL,1,2026-09-01T02:51:54.871916+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqd5hxteyzsxsfckx7my779ksvgyrznwzsqhe3qgy: The read operation timed out,EXPLORER_TIMEOUT,,WALLET,unknown,,Explorer timeout/service,RETRY_LATER
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqd622kmxwaqw0x24xqxfcc9vu6gh3c3w9qpeguet,FAILED_RETRY_EXHAUSTED,PARTIAL,1,2026-09-01T02:54:12.117670+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqd622kmxwaqw0x24xqxfcc9vu6gh3c3w9qpeguet: The read operation timed out,EXPLORER_TIMEOUT,,WALLET,unknown,,Explorer timeout/service,RETRY_LATER
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqd66ykds4533psl5xqhgvrjhgmyp9wgcvs0d0k60,FAILED_RETRY_EXHAUSTED,PARTIAL,1,2026-09-01T02:56:13.321772+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqd66ykds4533psl5xqhgvrjhgmyp9wgcvs0d0k60: The read operation timed out,EXPLORER_TIMEOUT,,WALLET,unknown,,Explorer timeout/service,RETRY_LATER
